Crop,Gross Production Value (constant 2004-2006 1000 I$),Net Production Value (constant 2004-2006 1000 I$),Gross Production Value (current million SLC),Gross Production Value (constant 2004-2006 million SLC),Gross Production Value (current million US$),Gross Production Value (constant 2004-2006 million US$)
Sorghum,1219035.1236,1169658.225809,68162.74,50572.525933,1566.772848,1125.6198
Sorghum,1114402.2624,1065098.359987,68837.54736,46231.7584,1422.108628,1029.005011
Sorghum,1030209.9528,983787.3837620001,74919.835874,42738.981467000005,1638.4582890000001,951.2644039999999
Sorghum,1077104.7924,1037495.4944760001,85419.051692,44684.446733,1830.2592149999998,994.565667
Sorghum,919747.92,882035.1792,79147.0342,38156.386667,1481.1214810000001,849.2671369999999
Sorghum,812085.12,777110.0904,66852.72,33689.92,1140.873347,749.854596
Sorghum,852074.16,816929.946,76031.4032,35348.893333,1245.813667,786.779254
Sorghum,838231.8,803087.5859999999,79307.201,34774.633333,1236.240018,773.997642
Sorghum,678275.64,643131.426,67132.9008,28138.74,999.071185,626.299009
Sugar cane,11674200.782944,10915377.757666001,287970.96671999997,273394.658528,6964.478387,6088.199412
Sugar cane,11433446.203648,10633104.978587,282032.20224,267756.498176,6482.726439,5962.64376
Sugar cane,9359507.518144,8704342.019457001,255049.928964,219187.54092800003,5269.053277,4881.066312
Sugar cane,9598307.6392,8926426.104456,307930.966552,224779.9304,6734.291908,5005.602697
Sugar cane,11242798.259392,10455802.418011999,393331.883801,263291.770304,8427.854099,5863.219163000001
Sugar cane,11855371.706303999,11025495.668474,450057.883117,277637.446848,8422.177853,6182.6816579999995
Sugar cane,11203984.4,10419705.492,406891.23600000003,262382.8,6943.791756999999,5842.977390999999
Sugar cane,11563286.854,10753856.77422,455182.27061999997,270797.19800000003,7458.3957390000005,6030.356812
Sugar cane,11897928.720999999,11088498.64122,496602.73981000006,278634.077,7741.0395579999995,6204.875519
Sugar cane,11441986.976,10632556.89622,499597.77343999996,267956.512,7435.009267,5967.097849
Tea,1034763.1209999999,1034763.1209999999,18034.905280000003,13701.902759999999,436.16795599999995,305.17855299999997
Tea,1049651.799,1049651.799,18039.685230000003,13899.052440000001,414.655998,309.569612
Tea,1034444.0779,1034444.0779,19640.087237,13697.678124000002,405.742775,305.084459
Tea,1054099.259814,1054099.259814,23561.645029,13957.943866,515.281062,310.881283
Tea,1164996.5144200001,1164996.5144200001,28397.127577999996,15426.399175,608.460331,343.58776800000004
Tea,1207120.83839,1207120.83839,31927.850547000002,15984.191948,597.483226,356.011326
Tea,1285509.72806,1285509.72806,32527.133547,17022.185014,555.090948,379.130248
Tea,1283946.41687,1283946.41687,35214.009182,17001.484297,576.9996610000001,378.669187
Tea,1311416.02778,1311416.02778,38136.580896,17365.225457,594.47272,386.77069
Tea,1331658.107807,1331658.107807,40511.180431,17633.262659,602.8869980000001,392.740606
Wheat,11960933.370528,11308016.140049001,758067.04,613933.226795,18333.589583,13676.570681000001
Wheat,12396963.2964,11730254.830583,848558.16,636313.859733,19504.760008,14175.143318999999
Wheat,12729757.0908,12025636.666733999,962585.1146059999,653395.567467,19885.958304,14555.671971000002
Wheat,12749353.6152,12004194.227049,1134997.262932,654401.421867,24821.806553,14578.079356999999
Wheat,13707153.468,12934458.952924,1330698.5761799999,703563.568,28512.647745,15673.2629
Wheat,14970356.16,14203120.455601001,1577007.1216,768401.493333,29511.39165,17117.65527
Wheat,14754194.82,13978312.425328,1486854.8199,757306.32,25373.882083,16870.488452
Wheat,15123404.7,14340115.47106,1651965.165,776257.2,27068.299324,17292.656594
Wheat,13652876.46,12869587.23106,1581277.7749,700777.626667,24648.945377,15611.200575
Wheat,14752617.0,13969327.771060001,1787449.785,757225.333333,26600.810537999998,16868.684315000002
